"playerID","yearID","stint","teamID","lgID","W","L","G","GS","CG","SHO","SV","IPouts","H","ER","HR","BB","SO","BAOpp","ERA","IBB","WP","HBP","BK","BFP","GF","R","SH","SF","GIDP"
"abernte02",1964,1,"CLE","AL",2,6,53,0,0,0,11,218,66,35,5,46,57,0.24,4.33,5,1,2,0,321,27,40,,,
"abernte02",1965,1,"CHN","NL",4,6,84,0,0,0,31,409,113,39,7,56,104,0.22,2.57,13,6,5,0,572,62,49,,,
"abernte02",1966,1,"CHN","NL",1,3,20,0,0,0,4,83,26,19,4,17,18,0.25,6.18,1,2,2,0,124,11,19,,,
"abernte02",1966,2,"ATL","NL",4,4,38,0,0,0,4,196,58,28,5,36,42,0.24,3.86,10,7,0,0,281,25,34,,,
"abernte02",1967,1,"CIN","NL",6,3,70,0,0,0,28,319,63,15,1,41,88,0.17,1.27,5,1,5,0,427,61,19,,,
"abernte02",1968,1,"CIN","NL",10,7,78,0,0,0,13,404,111,37,9,55,64,0.22,2.47,15,2,4,0,562,53,43,,,
"abernte02",1969,1,"CHN","NL",4,3,56,0,0,0,3,256,75,30,8,42,55,0.23,3.16,11,5,1,1,374,20,38,,,
"abernte02",1970,1,"CHN","NL",0,0,11,0,0,0,1,27,9,2,0,5,2,0.28,2.00,1,0,1,0,40,3,2,,,
"abernte02",1970,2,"SLN","NL",1,0,11,0,0,0,1,55,15,6,0,12,8,0.24,2.95,4,1,3,0,82,3,6,,,
"abernte02",1970,3,"KCA","AL",9,3,36,0,0,0,12,167,41,16,3,38,49,0.20,2.59,0,2,1,0,244,31,23,,,
"abernte02",1971,1,"KCA","AL",4,6,63,0,0,0,23,243,60,23,3,50,55,0.21,2.56,4,1,6,0,348,46,28,,,
"abernte02",1972,1,"KCA","AL",3,4,45,0,0,0,5,175,44,11,2,19,28,0.21,1.70,3,0,3,0,239,25,15,,,
"abernwo01",1946,1,"NY1","NL",1,1,15,1,0,0,1,120,32,15,5,10,6,0.23,3.38,,0,0,0,153,5,16,,,
"abernwo01",1947,1,"NY1","NL",0,0,1,0,0,0,0,6,4,2,0,1,0,0.40,9.00,,0,0,0,11,1,3,,,
"ablesha01",1905,1,"SLA","AL",0,3,6,3,1,0,0,92,37,13,0,13,11,0.29,3.82,,2,0,0,0,3,22,,,
"ablesha01",1909,1,"CLE","AL",1,1,5,3,3,0,0,89,26,7,1,10,24,0.22,2.12,,2,1,1,126,2,14,,,
"ablesha01",1911,1,"NYA","AL",0,1,3,2,0,0,0,33,16,12,0,7,6,0.33,9.82,,1,0,0,55,1,15,,,
